CA	Corriente alterna
CC	Corriente continua
GEEP	Gestión de Emergencias en Embalses y Presas
GIS	Geographical Information System
HP	Hewlet Packard
IBM	International Busnes Machines
IC	Instrumentación y Componentes
IEC	International Electrotechnical Commission
IP	Internet Protocol
IP21	InfoPlus 21
LAN	Loca Area Network
OPC	OLE for Process Control
OPCDA	OPC Data Access
OPCHDA	OPC Historical Data Access
PLC	Programmable Logic Controller
RCAA	Red de Calidad del Aire de Aragón
SAI	Sistema de Alimentación Ininterrumpida
SAIH	Sistema Automático de Información Hidrológica
SCADA	Supervisory Control And Data Acquisition (Control de Supervisión y Adquisición de Datos)
Tb	Terabytes
WAN	Wide Area Network
iSCSI	Internet Small Computer System Interface
PC	Personal Computer
